Source IP,Destination IP,Protocol,Source Port,Destination Port,Timestamp,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,CWE Flag Count,ECE Flag Count,SYN_ACK_Count,Length,IAT,labels
211.231.116.86,10.50.211.217,6,443,55627,2023-05-30 14:00:14,0,1,0,0,1,0,0,0,1,1500,0.0010015964508056,0
211.231.116.86,10.50.211.217,6,443,55627,2023-05-30 14:00:14,0,1,0,0,1,0,0,0,1,1500,0.0009968280792236,0
211.231.116.86,10.50.211.217,6,443,55627,2023-05-30 14:00:14,0,1,0,0,1,0,0,0,1,1500,0.0029916763305664,0
211.231.116.86,10.50.211.217,6,443,55627,2023-05-30 14:00:14,0,1,0,0,1,0,0,0,1,1500,0.0005080699920654,0
211.231.116.86,10.50.211.217,6,443,55627,2023-05-30 14:00:14,0,1,0,0,1,0,0,0,1,1500,0.0,0
211.231.116.86,10.50.211.217,6,443,55627,2023-05-30 14:00:14,0,1,0,0,1,0,0,0,1,1500,0.0,0
211.231.116.86,10.50.211.217,6,443,55627,2023-05-30 14:00:14,0,1,0,0,1,0,0,0,1,1500,0.0,0
211.231.116.86,10.50.211.217,6,443,55627,2023-05-30 14:00:14,0,1,0,0,1,0,0,0,1,1500,0.0,0
211.231.116.86,10.50.211.217,6,443,55627,2023-05-30 14:00:14,0,1,0,0,1,0,0,0,1,1500,0.0009963512420654,0
10.50.211.217,211.231.116.86,6,55627,443,2023-05-30 14:00:14,0,1,0,0,1,0,0,0,1,40,0.0186953544616699,0
211.231.116.86,10.50.211.217,6,443,55627,2023-05-30 14:00:14,0,1,0,0,1,0,0,0,1,1500,0.0013761520385742,0
211.231.116.86,10.50.211.217,6,443,55627,2023-05-30 14:00:14,0,1,0,0,1,0,0,0,1,1500,0.0,0
211.231.116.86,10.50.211.217,6,443,55627,2023-05-30 14:00:14,0,1,0,0,1,0,0,0,1,1500,0.0009963512420654,0
211.231.116.86,10.50.211.217,6,443,55627,2023-05-30 14:00:14,0,1,0,0,1,0,0,0,1,1500,0.0,0
211.231.116.86,10.50.211.217,6,443,55627,2023-05-30 14:00:14,0,1,0,0,1,0,0,0,1,1500,0.0,0
211.231.116.86,10.50.211.217,6,443,55627,2023-05-30 14:00:14,0,1,0,0,1,0,0,0,1,1500,0.0014717578887939,0
211.231.116.86,10.50.211.217,6,443,55627,2023-05-30 14:00:14,0,1,0,0,1,0,0,0,1,1500,0.0010018348693847,0
