Source IP,Destination IP,Protocol,Source Port,Destination Port,Timestamp,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,CWE Flag Count,ECE Flag Count,SYN_ACK_Count,Total Length,Flow Bytes/s,Flow Packets/s,Min Packet Length,Max Packet Length,Packet Length Mean,Packet Length Std,Packet Length Variance,IAT,labels
172.30.1.44,66.22.248.8,17,62161,50002,2023-05-07 17:01:21,0,0,0,0,0,0,0,0,0,2404,1202.0,1.0,1202,1202,1202.0,0.0,,0.0018253326416015,0
172.30.1.44,66.22.248.8,17,62161,50002,2023-05-07 17:01:21,0,0,0,0,0,0,0,0,0,2404,0.0,0.0,1202,1202,1202.0,0.0,,0.0,0
172.30.1.44,66.22.248.8,17,62161,50002,2023-05-07 17:01:21,0,0,0,0,0,0,0,0,0,2404,0.0,0.0,1202,1202,1202.0,0.0,,0.0,0
172.30.1.44,66.22.248.8,17,62161,50002,2023-05-07 17:01:21,0,0,0,0,0,0,0,0,0,2404,601.0,0.5,1202,1202,1202.0,0.0,,0.0025994777679443,0
172.30.1.44,66.22.248.8,17,62161,50002,2023-05-07 17:01:21,0,0,0,0,0,0,0,0,0,2404,0.0,0.0,1202,1202,1202.0,0.0,,0.0,0
172.30.1.44,66.22.248.8,17,62161,50002,2023-05-07 17:01:21,0,0,0,0,0,0,0,0,0,2404,0.0,0.0,1202,1202,1202.0,0.0,,0.0,0
172.30.1.44,66.22.248.8,17,62161,50002,2023-05-07 17:01:21,0,0,0,0,0,0,0,0,0,2404,0.0,0.0,1202,1202,1202.0,0.0,,0.0,0
172.30.1.44,66.22.248.8,17,62161,50002,2023-05-07 17:01:21,0,0,0,0,0,0,0,0,0,2404,0.0,0.0,1202,1202,1202.0,0.0,,0.0,0
172.30.1.44,66.22.248.8,17,62161,50002,2023-05-07 17:01:21,0,0,0,0,0,0,0,0,0,2404,0.0,0.0,1202,1202,1202.0,0.0,,0.0,0
172.30.1.44,66.22.248.8,17,62161,50002,2023-05-07 17:01:21,0,0,0,0,0,0,0,0,0,2404,200.33333333333331,0.1666666666666666,1202,1202,1202.0,0.0,,0.0060260295867919,0
172.30.1.44,66.22.248.8,17,62161,50002,2023-05-07 17:01:21,0,0,0,0,0,0,0,0,0,2404,1202.0,1.0,1202,1202,1202.0,0.0,,0.0010082721710205,0
172.30.1.44,66.22.248.8,17,62161,50002,2023-05-07 17:01:21,0,0,0,0,0,0,0,0,0,2406,0.0,0.0,1203,1203,1203.0,0.0,,0.0,0
172.30.1.44,66.22.228.166,17,62301,50004,2023-05-07 17:01:21,0,0,0,0,0,0,0,0,0,398,0.0,0.0,199,199,199.0,0.0,,0.0,0
66.22.228.166,172.30.1.44,17,50004,62301,2023-05-07 17:01:21,0,1,0,0,0,0,0,0,0,148,0.0721247563352826,0.0009746588693957,74,74,74.0,0.0,,1.02638840675354,0
172.30.1.44,66.22.248.8,17,62161,50002,2023-05-07 17:01:21,0,0,0,0,0,0,0,0,0,228,4.222222222222222,0.037037037037037,114,114,114.0,0.0,,0.0274999141693115,0
172.30.1.44,66.22.248.8,17,62161,50002,2023-05-07 17:01:21,0,0,0,0,0,0,0,0,0,2434,41.96551724137931,0.0344827586206896,1217,1217,1217.0,0.0,,0.029930830001831,0
172.30.1.44,66.22.248.8,17,62161,50002,2023-05-07 17:01:21,0,0,0,0,0,0,0,0,0,2434,243.4,0.2,1217,1217,1217.0,0.0,,0.0050351619720458,0
172.30.1.44,66.22.248.8,17,62161,50002,2023-05-07 17:01:21,0,0,0,0,0,0,0,0,0,2434,1217.0,1.0,1217,1217,1217.0,0.0,,0.0011096000671386,0
172.30.1.44,66.22.248.8,17,62161,50002,2023-05-07 17:01:21,0,0,0,0,0,0,0,0,0,2434,0.0,0.0,1217,1217,1217.0,0.0,,0.0,0
172.30.1.44,66.22.248.8,17,62161,50002,2023-05-07 17:01:21,0,0,0,0,0,0,0,0,0,2434,0.0,0.0,1217,1217,1217.0,0.0,,0.0,0
172.30.1.44,66.22.248.8,17,62161,50002,2023-05-07 17:01:21,0,0,0,0,0,0,0,0,0,2434,1217.0,1.0,1217,1217,1217.0,0.0,,0.001509666442871,0
172.30.1.44,66.22.248.8,17,62161,50002,2023-05-07 17:01:21,0,0,0,0,0,0,0,0,0,2434,608.5,0.5,1217,1217,1217.0,0.0,,0.0025360584259033,0
172.30.1.44,66.22.248.8,17,62161,50002,2023-05-07 17:01:21,0,0,0,0,0,0,0,0,0,2434,101.41666666666669,0.0833333333333333,1217,1217,1217.0,0.0,,0.0128149986267089,0
172.30.1.44,66.22.248.8,17,62161,50002,2023-05-07 17:01:21,0,0,0,0,0,0,0,0,0,2442,610.5,0.5,1221,1221,1221.0,0.0,,0.0028314590454101,0
172.30.1.44,66.22.248.8,17,62161,50002,2023-05-07 17:01:21,0,0,0,0,0,0,0,0,0,2442,610.5,0.5,1221,1221,1221.0,0.0,,0.0025444030761718,0
172.30.1.44,66.22.248.8,17,62161,50002,2023-05-07 17:01:21,0,0,0,0,0,0,0,0,0,2442,1221.0,1.0,1221,1221,1221.0,0.0,,0.0016155242919921,0
172.30.1.44,66.22.248.8,17,62161,50002,2023-05-07 17:01:21,0,0,0,0,0,0,0,0,0,2444,244.4,0.2,1222,1222,1222.0,0.0,,0.0055837631225585,0
